asteroid_id,name,absolute_magnitude,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km,date
54603192,(2026 DL1),25.23,23.9086457171,53.4613570733,14.4771043526,1241069.76383693,2026-02-19
54604383,(2026 DK14),25.32,22.9379697996,51.2908597378,14.1083427244,4321041.694351026,2026-02-19
3733138,(2015 VK1),26.6,12.7219878539,28.4472296503,27.9241633054,70371352.38043685,2026-02-17
3831738,(2018 TB5),26.5,13.3215566698,29.7879062798,19.7647051679,67641689.42880373,2026-02-17
54190080,(2021 QO1),26.87,11.2345317672,25.1211767268,5.1791388375,40629035.87933433,2026-02-17
54234943,(2022 AD),24.33,36.1871996599,80.917038355,14.8431452986,67025409.6488604,2026-02-17
54296084,(2022 QB),27.59,8.0640827676,18.0318372445,9.6466893482,73554304.22342537,2026-02-17
54297319,(2022 QR3),26.04,16.4647437755,36.8162863142,8.2520012018,64727304.897268,2026-02-17
54338714,(2023 AW),25.68,19.433676839,43.4550224647,6.7465533912,35673041.31467062,2026-02-17
54339977,(2023 BM2),24.95,27.1991277348,60.8190985438,5.4883288624,53389536.03299573,2026-02-17
54432972,(2024 GG1),22.12,100.1278697699,223.8927232478,7.0388364618,24664423.249013115,2026-02-17
54597145,(2026 AJ17),25.16,24.6919265606,55.212826285,6.0610568442,6657956.217443282,2026-02-17
54602695,(2026 CR2),30.2,2.424124811,5.4205078634,5.6407874809,136496.642057519,2026-02-17
54602791,(2026 CH3),24.73,30.0992016548,67.3038609686,12.4633100485,14236887.35204854,2026-02-17
54602814,(2026 DB),28.12,6.3176414818,14.1266758109,11.9987432097,214654.916906665,2026-02-17
54602969,(2026 DL),25.19,24.3531406274,54.4552779086,6.8260554083,2424033.755233763,2026-02-17
54603191,(2026 DJ1),24.86,28.3501249023,63.3928064522,10.7335089723,7595650.865746874,2026-02-17
54603881,(2026 DO5),26.471,13.5006592681,30.1883918645,4.2318687944,3745658.950188719,2026-02-17
54604128,(2026 DJ8),26.41,13.8852907036,31.0484539006,8.1181795752,8488832.937108131,2026-02-17
54604139,(2026 DR8),27.37,8.9239057866,19.9544599636,12.0088090958,1768613.203543417,2026-02-17
54606252,(2026 DT17),27.85,7.1540995088,15.9970528196,3.8260421039,5911377.261201855,2026-02-17
2488615,488615 (2002 SR),21.64,124.8978540673,279.2800919383,10.3575081728,28945941.44042652,2026-02-18
3070541,(2001 EC),18.66,492.6687055037,1101.640715893,19.0177014677,12327070.977939961,2026-02-18
3339218,(2006 QZ57),22.61,79.9015081239,178.6652036697,22.6865521157,9862690.841724856,2026-02-18
3733862,(2015 VU64),30.6,2.0162991944,4.5085820617,8.0011033479,23476745.44369237,2026-02-18
3738932,(2015 YQ1),28.0,6.676594135,14.9293183439,10.9464098931,48504368.14604969,2026-02-18
3743123,(2016 CA138),23.31,57.8835257491,129.4314983525,14.5183078408,12802710.449304005,2026-02-18
3743897,(2016 CO246),25.8,18.388867207,41.1187571041,12.6091841107,40264689.683517635,2026-02-18
3755777,(2016 NN39),19.36,356.9069266704,798.0681496756,14.2950457586,28555170.11229537,2026-02-18
3799312,(2018 CW2),25.66,19.6134944368,43.8571068371,15.0189786327,20340770.039605286,2026-02-18
3989171,(2020 BP7),24.36,35.690692667,79.8068149676,10.7641526391,15512891.150648722,2026-02-18
